@relation 2013_Summary_Industry

@attribute 'Industry Code' {111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,HS,ORE}
@attribute 'Industry Name' {Farms,'Forestry, fishing, and related activities','Oil and gas extraction','Mining, except oil and gas','Support activities for mining',Utilities,Construction,'Food and beverage and tobacco products','Textile mills and textile product mills','Apparel and leather and allied products','Wood products','Paper products','Printing and related support activities','Petroleum and coal products','Chemical products','Plastics and rubber products','Nonmetallic mineral products','Primary metals','Fabricated metal products',Machinery,'Computer and electronic products','Electrical equipment, appliances, and components','Motor vehicles, bodies and trailers, and parts','Other transportation equipment','Furniture and related products','Miscellaneous manufacturing','Wholesale trade','Motor vehicle and parts dealers','Food and beverage stores','General merchandise stores','Air transportation','Rail transportation','Water transportation','Truck transportation','Transit and ground passenger transportation','Pipeline transportation','Other transportation and support activities','Warehousing and storage','Other retail','Publishing industries, except internet (includes software)','Motion picture and sound recording industries','Broadcasting and telecommunications','Data processing, internet publishing, and other information services','Federal Reserve banks, credit intermediation, and related activities','Securities, commodity contracts, and investments','Insurance carriers and related activities','Funds, trusts, and other financial vehicles','Rental and leasing services and lessors of intangible assets','Legal services','Miscellaneous professional, scientific, and technical services','Computer systems design and related services','Management of companies and enterprises','Administrative and support services','Waste management and remediation services','Educational services','Ambulatory health care services',Hospitals,'Nursing and residential care facilities','Social assistance','Performing arts, spectator sports, museums, and related activities','Amusements, gambling, and recreation industries',Accommodation,'Food services and drinking places','Other services, except government',Housing,'Other real estate'}
@attribute Substance {'carbon dioxide',methane,'nitrous oxide','other GHGs'}
@attribute Unit {'kg/2018 USD, purchaser price','kg CO2e/2018 USD, purchaser price'}
@attribute 'Supply Chain Emission Factors without Margins' numeric
@attribute 'Margins of Supply Chain Emission Factors' numeric
@attribute 'Supply Chain Emission Factors with Margins' numeric
@attribute 'Unnamed: 7' string
@attribute 'DQ ReliabilityScore of Factors without Margins' numeric
@attribute 'DQ TemporalCorrelation of Factors without Margins' numeric
@attribute 'DQ GeographicalCorrelation of Factors without Margins' numeric
@attribute 'DQ TechnologicalCorrelation of Factors without Margins' numeric
@attribute 'DQ DataCollection of Factors without Margins' numeric

@data
323,'Printing and related support activities','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,3,3,1,3,1
324,'Petroleum and coal products','carbon dioxide','kg/2018 USD, purchaser price',0.622,0.006,0.628,?,4,3,1,3,1
324,'Petroleum and coal products',methane,'kg/2018 USD, purchaser price',0.012,0,0.012,?,4,3,1,1,1
324,'Petroleum and coal products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
324,'Petroleum and coal products','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,3,3,1,4,1
325,'Chemical products','carbon dioxide','kg/2018 USD, purchaser price',0.344,0.049,0.393,?,3,3,1,4,1
325,'Chemical products',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,3,3,1,1,1
325,'Chemical products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,2,1
325,'Chemical products','other GHGs','kg CO2e/2018 USD, purchaser price',0.012,0,0.012,?,2,3,1,2,1
326,'Plastics and rubber products','carbon dioxide','kg/2018 USD, purchaser price',0.268,0.025,0.293,?,3,3,1,4,1
326,'Plastics and rubber products',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
326,'Plastics and rubber products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
326,'Plastics and rubber products','other GHGs','kg CO2e/2018 USD, purchaser price',0.011,0,0.011,?,3,3,1,4,1
327,'Nonmetallic mineral products','carbon dioxide','kg/2018 USD, purchaser price',0.844,0.021,0.865,?,3,3,1,3,1
327,'Nonmetallic mineral products',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,1,1
327,'Nonmetallic mineral products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
327,'Nonmetallic mineral products','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,3,3,1,3,1
331,'Primary metals','carbon dioxide','kg/2018 USD, purchaser price',0.285,0.037,0.322,?,3,3,1,2,1
331,'Primary metals',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
331,'Primary metals','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
331,'Primary metals','other GHGs','kg CO2e/2018 USD, purchaser price',0.031,0,0.031,?,3,3,1,1,1
332,'Fabricated metal products','carbon dioxide','kg/2018 USD, purchaser price',0.308,0.029,0.337,?,3,3,1,3,1
332,'Fabricated metal products',methane,'kg/2018 USD, purchaser price',0.001,0,0.002,?,4,3,1,1,1
332,'Fabricated metal products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
332,'Fabricated metal products','other GHGs','kg CO2e/2018 USD, purchaser price',0.01,0,0.01,?,3,3,1,2,1
333,Machinery,'carbon dioxide','kg/2018 USD, purchaser price',0.221,0.03,0.251,?,3,3,1,3,1
333,Machinery,methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
333,Machinery,'nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
333,Machinery,'other GHGs','kg CO2e/2018 USD, purchaser price',0.035,0,0.035,?,4,3,1,4,1
334,'Computer and electronic products','carbon dioxide','kg/2018 USD, purchaser price',0.085,0.005,0.089,?,3,3,1,3,1
334,'Computer and electronic products',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
334,'Computer and electronic products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,2,1
334,'Computer and electronic products','other GHGs','kg CO2e/2018 USD, purchaser price',0.014,0,0.014,?,2,3,1,1,1
335,'Electrical equipment, appliances, and components','carbon dioxide','kg/2018 USD, purchaser price',0.212,0.015,0.228,?,3,3,1,3,1
335,'Electrical equipment, appliances, and components',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
335,'Electrical equipment, appliances, and components','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
335,'Electrical equipment, appliances, and components','other GHGs','kg CO2e/2018 USD, purchaser price',0.011,0,0.011,?,3,3,1,3,1
3361MV,'Motor vehicles, bodies and trailers, and parts','carbon dioxide','kg/2018 USD, purchaser price',0.22,0.021,0.241,?,3,3,1,3,1
3361MV,'Motor vehicles, bodies and trailers, and parts',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
3361MV,'Motor vehicles, bodies and trailers, and parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
3361MV,'Motor vehicles, bodies and trailers, and parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.02,0,0.02,?,4,3,1,4,1
3364OT,'Other transportation equipment','carbon dioxide','kg/2018 USD, purchaser price',0.125,0.014,0.139,?,3,3,1,3,1
3364OT,'Other transportation equipment',methane,'kg/2018 USD, purchaser price',0,0,0.001,?,3,3,1,1,1
3364OT,'Other transportation equipment','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
3364OT,'Other transportation equipment','other GHGs','kg CO2e/2018 USD, purchaser price',0.005,0,0.005,?,3,3,1,3,1
337,'Furniture and related products','carbon dioxide','kg/2018 USD, purchaser price',0.227,0.054,0.28,?,3,3,1,3,1
337,'Furniture and related products',methane,'kg/2018 USD, purchaser price',0.001,0.001,0.002,?,3,3,1,1,1
337,'Furniture and related products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
337,'Furniture and related products','other GHGs','kg CO2e/2018 USD, purchaser price',0.019,0,0.019,?,4,3,1,4,1
339,'Miscellaneous manufacturing','carbon dioxide','kg/2018 USD, purchaser price',0.19,0.022,0.212,?,3,3,1,3,1
339,'Miscellaneous manufacturing',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
339,'Miscellaneous manufacturing','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
339,'Miscellaneous manufacturing','other GHGs','kg CO2e/2018 USD, purchaser price',0.006,0,0.006,?,3,3,1,3,1
42,'Wholesale trade','carbon dioxide','kg/2018 USD, purchaser price',0.133,0,0.133,?,3,3,1,3,1
42,'Wholesale trade',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
42,'Wholesale trade','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,3,1
42,'Wholesale trade','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,4,1
441,'Motor vehicle and parts dealers','carbon dioxide','kg/2018 USD, purchaser price',0.123,0,0.123,?,3,3,1,3,1
441,'Motor vehicle and parts dealers',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
441,'Motor vehicle and parts dealers','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,3,1
441,'Motor vehicle and parts dealers','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,4,1
445,'Food and beverage stores','carbon dioxide','kg/2018 USD, purchaser price',0.238,0,0.238,?,3,3,1,3,1
445,'Food and beverage stores',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
445,'Food and beverage stores','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
445,'Food and beverage stores','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,4,1
452,'General merchandise stores','carbon dioxide','kg/2018 USD, purchaser price',0.18,0,0.18,?,3,3,1,3,1
452,'General merchandise stores',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
452,'General merchandise stores','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,3,1
452,'General merchandise stores','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,4,1
481,'Air transportation','carbon dioxide','kg/2018 USD, purchaser price',0.901,0,0.901,?,4,3,1,2,1
481,'Air transportation',methane,'kg/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,1,1
481,'Air transportation','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
481,'Air transportation','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,4,1
482,'Rail transportation','carbon dioxide','kg/2018 USD, purchaser price',0.654,0,0.654,?,4,3,1,4,1
482,'Rail transportation',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,1,1
482,'Rail transportation','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
482,'Rail transportation','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,4,3,1,4,1
483,'Water transportation','carbon dioxide','kg/2018 USD, purchaser price',0.746,0,0.746,?,4,3,1,2,1
483,'Water transportation',methane,'kg/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,1,1
483,'Water transportation','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
483,'Water transportation','other GHGs','kg CO2e/2018 USD, purchaser price',0.045,0,0.045,?,4,3,1,5,1
484,'Truck transportation','carbon dioxide','kg/2018 USD, purchaser price',1.394,0,1.394,?,4,3,1,4,1
484,'Truck transportation',methane,'kg/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,1,1
484,'Truck transportation','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
484,'Truck transportation','other GHGs','kg CO2e/2018 USD, purchaser price',0.021,0,0.021,?,4,3,1,5,1
485,'Transit and ground passenger transportation','carbon dioxide','kg/2018 USD, purchaser price',0.144,0,0.144,?,4,3,1,3,1
485,'Transit and ground passenger transportation',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
485,'Transit and ground passenger transportation','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
485,'Transit and ground passenger transportation','other GHGs','kg CO2e/2018 USD, purchaser price',0.008,0,0.008,?,4,3,1,5,1
486,'Pipeline transportation','carbon dioxide','kg/2018 USD, purchaser price',1.381,0,1.381,?,4,3,1,1,1
486,'Pipeline transportation',methane,'kg/2018 USD, purchaser price',0.032,0,0.032,?,4,3,1,1,1
486,'Pipeline transportation','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
486,'Pipeline transportation','other GHGs','kg CO2e/2018 USD, purchaser price',0.012,0,0.012,?,4,3,1,5,1
487OS,'Other transportation and support activities','carbon dioxide','kg/2018 USD, purchaser price',0.354,0,0.354,?,4,3,1,3,1
487OS,'Other transportation and support activities',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,2,1
487OS,'Other transportation and support activities','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,4,1
487OS,'Other transportation and support activities','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,4,1
493,'Warehousing and storage','carbon dioxide','kg/2018 USD, purchaser price',0.551,0,0.551,?,2,3,1,2,1
493,'Warehousing and storage',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,3,3,1,1,1
493,'Warehousing and storage','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,2,1
493,'Warehousing and storage','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,3,3,1,3,1
4A0,'Other retail','carbon dioxide','kg/2018 USD, purchaser price',0.17,0,0.17,?,3,3,1,3,1
4A0,'Other retail',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
4A0,'Other retail','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
4A0,'Other retail','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,4,1
511,'Publishing industries, except internet (includes software)','carbon dioxide','kg/2018 USD, purchaser price',0.065,0.006,0.072,?,3,3,1,3,1
511,'Publishing industries, except internet (includes software)',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
511,'Publishing industries, except internet (includes software)','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
511,'Publishing industries, except internet (includes software)','other GHGs','kg CO2e/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,4,1
512,'Motion picture and sound recording industries','carbon dioxide','kg/2018 USD, purchaser price',0.061,0.002,0.063,?,3,3,1,3,1
512,'Motion picture and sound recording industries',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
512,'Motion picture and sound recording industries','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
512,'Motion picture and sound recording industries','other GHGs','kg CO2e/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,4,1
513,'Broadcasting and telecommunications','carbon dioxide','kg/2018 USD, purchaser price',0.086,0,0.086,?,3,3,1,3,1
513,'Broadcasting and telecommunications',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
513,'Broadcasting and telecommunications','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
513,'Broadcasting and telecommunications','other GHGs','kg CO2e/2018 USD, purchaser price',0.006,0,0.006,?,4,3,1,4,1
514,'Data processing, internet publishing, and other information services','carbon dioxide','kg/2018 USD, purchaser price',0.116,0,0.116,?,3,3,1,3,1
514,'Data processing, internet publishing, and other information services',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
514,'Data processing, internet publishing, and other information services','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
514,'Data processing, internet publishing, and other information services','other GHGs','kg CO2e/2018 USD, purchaser price',0.005,0,0.005,?,4,3,1,4,1
521CI,'Federal Reserve banks, credit intermediation, and related activities','carbon dioxide','kg/2018 USD, purchaser price',0.085,0,0.085,?,3,3,1,3,1
521CI,'Federal Reserve banks, credit intermediation, and related activities',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
521CI,'Federal Reserve banks, credit intermediation, and related activities','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,3,1
521CI,'Federal Reserve banks, credit intermediation, and related activities','other GHGs','kg CO2e/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,4,1
523,'Securities, commodity contracts, and investments','carbon dioxide','kg/2018 USD, purchaser price',0.112,0,0.112,?,3,3,1,3,1
523,'Securities, commodity contracts, and investments',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,1,1
523,'Securities, commodity contracts, and investments','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
523,'Securities, commodity contracts, and investments','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,4,1
524,'Insurance carriers and related activities','carbon dioxide','kg/2018 USD, purchaser price',0.059,0,0.059,?,3,3,1,3,1
524,'Insurance carriers and related activities',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
524,'Insurance carriers and related activities','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
524,'Insurance carriers and related activities','other GHGs','kg CO2e/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,4,1
525,'Funds, trusts, and other financial vehicles','carbon dioxide','kg/2018 USD, purchaser price',0.233,0,0.233,?,3,3,1,3,1
525,'Funds, trusts, and other financial vehicles',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
525,'Funds, trusts, and other financial vehicles','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
525,'Funds, trusts, and other financial vehicles','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,3,3,1,4,1
532RL,'Rental and leasing services and lessors of intangible assets','carbon dioxide','kg/2018 USD, purchaser price',0.129,0,0.129,?,3,3,1,3,1
532RL,'Rental and leasing services and lessors of intangible assets',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
532RL,'Rental and leasing services and lessors of intangible assets','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,3,1
532RL,'Rental and leasing services and lessors of intangible assets','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,4,3,1,4,1
5411,'Legal services','carbon dioxide','kg/2018 USD, purchaser price',0.074,0,0.074,?,3,3,1,3,1
5411,'Legal services',methane,'kg/2018 USD, purchaser price',0,0,0,?,3,3,1,1,1
5411,'Legal services','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,3,1,3,1
5411,'Legal services','other GHGs','kg CO2e/2018 USD, purchaser price',0.001,0,0.001,?,4,3,1,4,1
5412OP,'Miscellaneous professional, scientific, and technical services','carbon dioxide','kg/2018 USD, purchaser price',0.097,0,0.097,?,3,3,1,3,1
5412OP,'Miscellaneous professional, scientific, and technical services',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,3,1,1,1
5412OP,'Miscellaneous professional, scientific, and technical services','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,3,1,3,1
5412OP,'Miscellaneous professional, scientific, and technical services','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,4,3,1,4,1
